"","NLM Catalog #","Input file number","Language(s) of the main text","Language(s) of the main text_1","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Location of this copy","Publisher","Copyright owner","Location of printing-","Drawings or illustrations","Colophon-tugsguliin ug","Neree bich"
"1","M0057905-001","W1NLM11-I1NLM11","Tibetan","N","*, ,RJE BTZUN RDO RJE PHAG MO'I SGRUB DKYIL GYI CHO GA'I NGAG 'DON BKLAG CHOG TU SPEL BA BRGYUD PA BZHI LDAN ZAB MO'I CHOS KYI BSTAN PA RGYAS BYED CES BYA BA BZHUGS SO, ,ZAB DBANG MA THOB PA LA BSTAN PAR MI BYA BA'I DKA' RGYAN CAN NO, ,","BSTAN 'DZIN CHOS RJE,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-53B","17x6.5","22x9","MS",NA,NA,NA,NA,"@053A *, ,(RJE BTZUN RDO RJE PHAG MO'I SGRUB DKYIL GYI CHO GA'I NGAG 'DON 'DI YANG BSTAN 'DZIN CHOS RJE'I MTSAN CAN GYIS BYIN GYIS RLABS PA'I YE SHES LHUN GRUB KYIS LUGS GZHAN GYIS BSRE BSLAD MED PAR LEGS PAR BSHAD PA GU HYA SA MA YA RGYA, KHYAD CHOS LNGA LDAN RDO RJE'I RGYAS BTAB PA'I, ,ZAB DON RTOGS DKA' BDAG BLO MTHU DMAN PAS, ,NONGS GYUR MCHIS NA BLA MA MKHA' 'GRO YIS, , @053B BZOD PAR GSOL LA SDIG LTUNG SBYANG DU GSOL, ,'DIR 'BAD DGE BAS BDAG DANG 'GRO BA KUN, ,LHAN SKYES BDE CHEN RDO RJE RNAL 'BYOR MAR, ,ROL BA'I RTZED DGAS 'TSO ZHING LCAGS SAM PA'I, ,BSTAN PA RIN CHEN RING DU 'BAR GYUR CIG,)",NA
"2","M0057905-002","W1NLM11-I1NLM11","Tibetan","N","*, ,RAS BRIS DKYIL 'KHOR BRIS SKU SOGS YOD NA RTEN RNAMS LA BRTAN BZHUGS BYA BA NI,","RJE GRUB THOB CHEN PO,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","53B-60A","17x6.5","22x9","MS",NA,NA,NA,NA,"@060A *, ,(CES SMON LAM DANG BKRA SHIS 'DI DAG RJE GRUB THOB CHEN PO'I GSUNGS 'KHRUL MED BYIN RLABS CAN NO, ,)",NA
"3","M0057905-003","W1NLM11-I1NLM11","Tibetan","N","*, ,RDO RJE PHAG MO MNGON RTOGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6A","17x6.5","22x9","MS",NA,NA,NA,NA,NA,NA
"4","M0057906-001","W1NLM12-I1NLM12","Tibetan","N","*, ,RJE BTZUN 'JAM DBYANGS KYI BSTOD PA BZHUGS, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-22A","16.5x6.5","21x8","MS",NA,NA,NA,NA,NA,NA
"5","M0057906-002","W1NLM12-I1NLM12","Tibetan","N","*, , MA GCIG KHROS MA NAG MO'I BSKANG BSHAGS DNGOS GRUB KUN 'BYUNG ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-18B","17.5x5","22x7","MS",NA,NA,NA,NA,"@018A *, ,(CES PA 'DI NI KUN DGA' SNYING PO DANG, DON YOD RDO RJE LEGS PA'I MDZAD GZHUNG RNAMS GONG 'OG @018B 'JOL BA 'JAM DBYANGS PAn CHEN PU PUnYE SHES RAB PHYOGS GCIG TU BSGRIGS PA'O, , SA MA YA, , RGYA RGYA RGYA, ,)",NA
"6","M0057906-003","W1NLM12-I1NLM12","Tibetan","N","*, ,CHA GSUM GTOR MA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-10A","19.5x5.5","23.5x7.5","MS",NA,NA,NA,NA,NA,NA
"7","M0057906-004","W1NLM12-I1NLM12","Tibetan","N",", RTA MGRIN GSANG SGRUBS GYI SGO NAS GRIB SEL BYA TSUL NOR BU KE TA KA ZHES BYA BA BZHUGS SO, ,","DHARMA BDZRA,","BHA TA'I SA'I CHAR SGAR THOG",NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6B","16.5x5","20x6.5","MS",NA,NA,NA,NA,"@006A *, ,(RTA MGRIN GSANG SGRUB KYI SGO NAS GRIB SEL BYA TSUL NOR BU KE TA KA ZHES BYA BA 'DI NI DON GNYER BA 'GA' ZHIG GIS 'DI LTA BU ZHIG DGOS ZHES BSKUL BAR BRTEN, MKHA' 'GRO'I SGRUBS THABS DANG 'BREL BA'I SEL GYI @006B GDAMS PA RNAMS RTA MGRIN LA MI 'GRIGS BZHIN DU NAN GYIS SPYOD PAR DGOS BA MA MCHIS SHING, SNGAR BKOD PA'I GDAMS PA 'DI NYID YI DAM GANG LA'ANG SBYAR CHOG BAS, RTA MGRIN GYI LE LAG TU BLANG BAR 'GAL BA MED PAR BSAM NAS BTZUN GZUGS DHARMA BDZRA GYIS BHA TA'I SA'I CHAR SGAR THOG TU SBYAR BA'O, ,)",NA
"8","M0057906-005","W1NLM12-I1NLM12","Tibetan","N","*, ,SENG GDONG MA'I BLO BUR LAS BCOL RDO RJE THUN MDA' ZHES BYA BA BZHUGS, ,","RDO RJE THOG MED RTZAL,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4A","18x6","22x7","MS",NA,NA,NA,NA,"@004A *, ,(CES GANG GI ZHABS RDUL PA RDO RJE THOG MED RTZAL GYIS BRIS BA'O, , SARBA SIDDHI PA LA HO:)",NA
"9","M0057906-006","W1NLM12-I1NLM12","Tibetan","N","SENG GDONG NAG MO'I SGO NAS ZOR NAG BZHUGS SO, , ,SA LUGS SENG GDONG MA'I SGO NAS DRAG LAS BDUD YUL 'JIGS PA'I LTAS NGAN THOG MDA' ZHES BYA BA BZHUGS SO, ,","RDO RJE GZHON NU RTZAL,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-22B","18x5","22x7","MS",NA,NA,NA,NA,"@022B (ZHES PA 'DI NI RDO RJE GZHON NU RTZAL GYIS BRIS PA A BI TZARYA SIDDHI DZA YANDU,, ,,)",NA
"10","M0057906-007","W1NLM12-I1NLM12","Tibetan","N","*, ,THA 'OG CHOS RGYAL KYI GSOL MCHOD BZHUGS SO, ,","RJE BTZUN GRAGS PA BSHAD SGRUB,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-9A","18x6","22x7","MS",NA,NA,NA,NA,"@009A *, ,(ZHES PA 'DI NI RGYAL DBANG LNGA PA CHEN PO'I GSUNG LA RJE BTZUN GRAGS PA BSHAD SGRUB KYIS KHA SKONG BGYIS PA'O, ,)",NA
