"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"1","M0057895-001","W1NLM1-I1NLM1","Tibetan","N","*, ,SLOB DPON CHEN PO PADMA KA RA'I THUGS RJE'I NYING KHU MDOS CHO GA SNA TSOGS BLTO SGRO SA MAS BSGYUR CHEN CHEN DGA' BA'I LTAS MO ZHES BYA BA BZHUGS SO, ,","SLOB DPON PADMA 'BYUNG GNAS,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-70A","26x5.5","30x7","MS",NA,NA,NA,NA,"Uuree"
"2","M0057896-001","W1NLM2-I1NLM2","Tibetan","N","*, ,DPAL GSANG DBANG 'DUS PA'I DBANG GI CHO GA'I tIKKA DBANG DBANG DON DE NYID RAB GSAL YANG DAG GSAL SGRON ME MKHAS PA'I MGUL RGYAN ZHES BYA BA BZHUGS SO, ,","JAM DBYANGS GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-83B","23.5x5.5","29.5x7","MS",NA,NA,NA,"@083B (CES PA 'DI NI DPON SLOB RIN PO CHE 'JAM DBYANGS GRAGS PA DPAL BZANG PO'I GSUNGS DRI MA MED PA YIN NO,, ,,)","Uuree"
"3","M0057897-001","W1NLM3-I1NLM3","Tibetan","LW","*, ,'PHAGS PA THUGS RJE CHEN PO ZHAL BCU GCIG PA DPAL MO'I LUGS KYI SGRUB THABS SMYUNG BAR GNAS PA'I CHO GA DANG BCAS PA PHAN BDE'I SNANG BA GA SAR DNGOM ZHES BYA BA BZHUGS SO,, ,,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-51A","23x5.5","30x8","MS",NA,NA,NA,NA,"Uuree"
"4","M0057897-002","W1NLM3-I1NLM3","Tibetan","N","*, ,BSANGS KYI CHO GA DNGOS GRUB KYI GZI 'OD 'BAR BA NGO MTSAR RIN PO CHE'I PHRENG BA ZHES BYA BA BZHUGS SO, ,","CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-27A","23x5.6","30x8","XYL","DPAL 'KHOR BDE CHEN,",NA,NA,"@026B (CES BSANGS KYI CHO GA DNGOS GRUB KYI GZI 'OD 'BAR BA NGO MTSAR RIN PO CHE'I PHRENG BA ZHES BYA BA 'DI NI, RIGS RUS CHO 'BRANG SOGS YON TAN DU MA'I DPAL GYIS MNGON PAR MTHO ZHING, KHYAD PAR RGYAL BA GNYIS PA'I BSTAN PA BSTAN 'DZIN LA MI PHYED PA'I DAD PA DANG LDAN PA, RNAM PAR DPYOD PA'I MIG YANGS GA-YO BAS SHES BYA'I DKYIL 'KHOR MTHA' DAG LA GZIGS PA GSAL BA SOGS, DAM PAS BSNGAGS PA'I YON TAN DANG LDAN PA, LCANG RA NAS SDE BA RIN PO CHE DON GRUB PA RAB RAB BRTAN SKU MCHED KYI BKAS @027A *, ,BSKUL BA LA BRTEN NAS, SDE SNOD 'DZIN PA CHOS KYI RGYAL MTSAN GYIS, DPAL 'KHOR BDE CHEN DU SBYAR BA 'DIS KYANG, PHYOGS DUS THAMS CAD DU DGE BAR GYUR CIG , ,,MANGGA LAm BHA WANTU, ,)","Uuree"
"5","M0057897-003","W1NLM3-I1NLM3","Tibetan","N","*, ,LHA MCHOG RNAMS LA DGA' BAR BYED PA'I BSANGS MCHOD BCU GSUM MU TIG PHRENG BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-22B. [* missing page from 23A*]","23x5.7","30x8","XYL",NA,NA,NA,NA,"Uuree"
"6","M0057897-004","W1NLM3-I1NLM3","Tibetan","N","*, ,SLOB DPON CHEN PO PADMA K'A RA'I ZHABS KYIS MDZAD PA'I 'BUM BSANGS PEngTURYA'I SNGON PO BKRA SHIS 'DOD PA'I RE SKONG MA ZHES BYA BA BZHUGS SO, ,","GRAGS PA BSHAD SGRUB,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-18A","23x5.7","30x8","XYL","DGE LDAN CHOS 'KHOR GLING,",NA,NA,"@017B (ZHES PA 'DI NI LHA MCHOG RNAMS LA BSANGS MCHOD BCU GSUM 'BUL BAR DGOS ZHES DON GNYER CAN MANG POS BSKUL BA'I CHED DU, SNGON GYI MKHAS PA'I DPE RNYING LA GTUGS TE, AA @018A *, ,RING LAS BYUNG BA'I MDO STOD KYI JO NI DGON PO'I SH'AKYA'I DGE SLONG GRAGS PA BSHAD SGRUB KYIS, SA PHYOGS YUL KHAMS THAMS CAD DGA' BAR BYED PA'I PHYIR DU DGE LDAN CHOS 'KHOR GLING DU SBYAR BA'O,, ,, BKRA SHIS PA DANG DGE BA 'PHEL GYUR CIG , ,,)","Uuree"
"7","M0057897-005","W1NLM3-I1NLM3","Tibetan","N","*, ,LUGS GNYIS KYI RGYUD 'DEBS BZHUGS SO, ,","LHAG BSAM BZANG PO,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-4A","23x5.7","30x8","XYL",NA,NA,NA,"@003B (ZHES LUGS GNYIS KYI RGYUD 'DEBS 'DI YANG BSNYUNG BAR GNAS PA'I CHO GA'I ZUR DU SKUL MNYAM 'GA' LA NYE BAR MKHO 'AM SNYAM PA'I LHAG BSAM BZANG POS SBYAR BA'I YI GE PA NI DBU MDZAD DGE SLONG BSTAN PA BKRA SHIS SO,, ,,NGAG GI DBANG PHYUG BLO BZANG @004A *, ,GRAGS PA DANG, ,DBYER MED 'JAM DPAL RDO RJES BZUNG BA, ,BSHAD SGRUB BSTAN 'DZIN BSHES GNYEN DAM PA LA, GSOL BA 'DEBS SO BDAG BRGYUD BYIN GYIS RLOBS,, ,,)","Uuree"
"8","M0057898-001","W1NLM4-I1NLM4","Tibetan","N","*, ,BYANG CHUB LAM GYI RIM PA BRTEN PA'I BLA MA'I RNAL 'BYOR THUN MONG MIN PA NYAMS SU CHO GA SKAL LDAN MGUL RGYAN NOR BU'I 'PHRENG BA ZHES BYA BA BZHUGS SO, ,","DGE SLONG GRAGS PA DAR RGYAS","DGA' LDAN DAR RGYAS GLING",NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-105A","23x5.7","30x8","MS",NA,NA,NA,"@104A *, ,(CES BYANG CHUB LAM GYI RIM PA LA BRTEN PA'I BLA MA'I RNAL 'BYOR THUN MONG MIN PA NYAMS SU CHO GA SKAL LDAN MGUL RGYAN NOR BU'I 'PHRENG BA ZHES BYA BA 'DI NI, RIGS RUS DPAL GYIS MNGON PAR MTHO BA'I CHANG GIS RGYAL PO'I GDUNG BRGYUD BLA MA DKON MCHOG 'A MI PHYED PA'I DAD PA DANG LDAN ZHING LUGS GNYIS LA MKHYEN PA'I SPYAN YANGS PA GUNG HO LO CHE DAR HAN HONG THA'I CI 'PHAGS PA SKYABS KYIS GTZOS PA'I DZA SAG BCU BZHI'I @104B BLA GRA DPON GA-YOG STONG PHRAG DU MA LA SLOB DPON AA BHYA YA KA RA DANG GRUB CHEN MI TRA'I LUGS KYIS RDO RJE 'PHRENG BA'I DBANG DANG, BYANG CHUB LAM RIM DMAR KHRID BDE LAM DANG, LAM GTZO RNAM GSUM, BLA MA MCHOD PA SOGS KYI LUNG 'KHRID 'BUL BAR BYED PA'I DUS SU GUD NYID KYI GR'A TSANG GI DANG SLOB DPON PA PI LIG THU DGE SLONG NGAG DBANG DGE 'DUN, YER TE NI PI SHE RIL THU BLA MA BLO BZANG RDO RJE, DGE BSKOS DAS CHENG PI LEG THU THON DGE SLONG BLO BZANG DGE LEGS YER TE NI DBU MDZAD DGE SLONG BLO BZANG SANGS RGYAS, DGE BSKOS DAS CHING DAR HAN NOD SO AU RGYAN NGAG DBANG, AER TE NI PI LIG THU THON CHOS RGYA MTSO SOGS DANG, GZHAN YANG DGE BSHES DAR HAN BLA MA DGE SLONG TSE BRTEN RDO RJE, AA CHI THU DAR HAN BLA MA DGE SLONG BLO BZANG RAB 'PHEL, AER HEM PI LIG THU SLOB DPON DGE SLONG TSUL KHRIMS, T'A BLA MA DGE SLONG BLO BZANG DOH GRUB, PHI LIG THU T'A BLA MA DGE SLONG BZANG SPYOD, NIG THA PI LIG THU BLA MA DGE SLONG SHES RAB, SHES DAR DGE BSKOS BLO BZANG RDO RJE, PI LIG THU DAR HAN NANG SO DGE SLONG 'JIGS MED, DGE SLONG SKON MCHOG BKRA SHIS, DGE SLONG BKRA SHIS BLO BZANG TSE BRTAN SOGS, DAR TSOGS PA'I GRVA RIGS MANG PO'I THUGS 'DOD BZHIN LA, RANG GI BSOD NAMS GSOG PA'I RGYUR 'GYUR PA'I RKYEN KYIS KYANG NYE BAR BSKUL BAS MTSAMS SBYAR TE, YONGS RDZOGS BSTAN PA'I MNGA' BDAG LCANG SKYA RDO RJE 'CHANG NGAG DBANG BLO BZANG CHOS LDAN DPAL BZANG POS MDZAD PA'I BYANG CHUB LAM GYI RIM PA'I DMIGS RIM MDOR BSDUS 'KHYER BDE'I LTAN NAS, BDAG LA DAM PA DE NYID KYI MKHAS GRUB KUN GYI GTZUG RGYAN RGYAL MA GNYIS PA'I RING LUGS LA CHEN PO BKA' DRIN MNYAM MED DRIN CAN RTZA BA'I BLA MA RDO RJE 'CHANG YE SHES BSTAN PA'I SGRON ME DPAL BZANG POS KHRID GNANG BA'I DUS KYI SNYAN RGYUD MAN NGAG ZHAL SHES LA GZHI BYAS GZHAN NAS KYANG KHA SKOD DGOS PA RNAMS KYIS BRGYAN TE, YONGS 'DZIN @105A *, , DAM PA CHOS BZHIN SPYOD PA SPYI DANG KHYAD PAR THOG MTHA' BAR GSUM DU BKA' DRIN 'GRAN ZLA DANG BRAL BA'I RIGS DANG DKYIL 'KHOR KUN GYI KHYAB BDAG RDO RJE 'CHANG BLO BZANG NOR BU SHES RAB DPAL BZANG PO YAB SRAS KYI BKA' DRIN 'TSO BA DANG, YANG SKOS BYANG PHYOGS BSTAN PA'I BDAG PO RJE BTZUN BLO BZANG DAM PA BLO BZANG THUB BSTAN DBANG PHYUGS 'JIGS MED RGYA MTSO DPAL BZANG PO'I BKA' 'BANGS TH'A SHAL DGE SLONG GRAGS PA RGYA RGYAS SAM MING GZHAN AER TE NI JO BO BLA MA KHRI BA NOM CHI CHOS RJER 'BOD PAS , SHING 'BRUG LO'I HOR ZLA DRUG PA'I TSES BCU GSUM LA DGE SA TSAN BCU LDAN BUR GE 'I MA CHAR DGA' LDAN DAR RGYAS GLING DU SBYAR BA'I YI GE PA NI RNAM DBYOD DANG LDAN PA DGE SLONG DKON MCHOG BKRA SHIS DANG BSOD NAMS DBANG PHYUGS GIS BGYUS SO, ,'DIS KYANG RGYAL BA'I BSTAN PA RIN PO CHE DUS KUN TU 'PHEL BAR GYUR CIG , ,,)","Uuree"
"9","M0057898-002","W1NLM4-I1NLM4","Tibetan","N","*, ,THUB DBANG GNAS BRTAN 'KHOR DANG BCAS PA LA MCHOD CING GSOL BA GDAB PA'I SGO NAS YUL KHYAD PAR CAN LA BRTAN BZHUGS 'BUL TSUL THUB BSTAN RGYAS PA'I NYEN BYED ZHES BYA BA BZHUGS SO, ,","DZNY'A NA'I MING CAN,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-5B","29x6","35x8.7","MS","NYANG BRANG CHU BZANG RI KHROD,",NA,NA,"@005A *, ,(CES THUB DBANG GNAS BRTAN BCU DRUG 'KHOR BCAS LA MCHOD CING MTSAN 'DZIN @005B GSOL BA GDAB PA'I SGO NAS YUL KHYAD PAR CAN LA BRTAN BZHUGS 'BUL TSUL THUB BSTAN RGYAS PA'I NYEN BYED ZHES PA 'DI NI, ^SER SMAD MKHAN PO BLO BZANG THUGS RJES MDZAD PA'I GNAS BCU BSTAN RGYAS MA MA'I SGO NAS BRNYAN BZUGS 'BUL TSUL DANG, PHYAG MCHOD THUB BSTAN RGYAS BYED SOGS CHOG SGRIGS TE LAG LEN NAG 'GROS SU 'KHOD PA ZHIG DGOS ZHES RANG GI SLOB MA 'GA' ZHIG NAS ZHES SUN YANG YANG BTANG BA'I NGOR DGE SBYONGS DZNY'A NA'I MING CAN GYI NYANG BRANG CHU BZANG RI KHROD DU BSGRIGS PA'O, ,SARBA MANGGA LAm, BKRA SHIS PAR GYUR CIG , DGE'O,, ,,)","Uuree"
"10","M0057898-003","W1NLM4-I1NLM4","Tibetan","N","*, ,TSE LHA RNAM GSUM GYI MNGON RTOGS BZHUGS SO, ,","DKON MCHOG BSTAN PA'I SGRON ME,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-3B","27.7x6.7","35x9","MS",NA,NA,NA,"@003B (ZHES PA 'DI NI TSE LHA RNAM GSUM TSAR SGRUB PAR 'DOD KYANG SO SOR MI LCOGS PA RNAMS LA 'JUG PA BDE BA'I PHYIR 'DI 'DRA ZHIG DGOS ZHES DANG BRTZON LDAN PA DGE SLONG DKON MCHOG ZLA BA'I BSKUL NGOR, BTZUN PA DKON MCHOG BSTAN PA'I SGRON ME BRIS PA'O, ,)","Uuree"
