"","Work RID","Image RID","ImageDirectory-ID","vol.","NLM Catalog #","Cover type","Title in Tibetan","Title","Author","Number of Pages (Vol)","Print Type","Source printery","Size of printed area","Page Dimensions","Condition of the Text","Readability of the Text","Name of Cataloger","Date of Cataloged","Name of Digitizer","Volume Number","No, of pages scanned (number of images)","Date scanning completed","Station number","Notes on missing pages","Home Office Liason","Archive Status","Yellow-BDRC Librarian, Orange-Cataloguer, Blue-Digitizer"
"1",NA,NA,NA,"པོད་གྲངས།",NA,"གླེགས་ཤིང་སོགས།",NA,"མཚན་བྱང་།","མཛད་པ་པོ།","པོད་སོ་སོའི་ཤོག་གྲངས།","ཤིང་པར་ལྟ་བུ་པར་རིགས།","པར་མའི་མིང་།","གླེགས་ཐིག་གི་ཆ་ཚད།","ལྡེབ་མའི་ཆ་ཚད།","དཔེ་ཆའི་སྤུས་ཚད་གནས་སྟངས།","ཡི་གེ་གསལ་མིན་གནས་སྟངས།","དཀར་ཆག་སྒྲིག་པ་པོ།","དཀར་ཆག་སྒྲིག་པའི་ཟླ་ཚེས།","བཤེར་འབེབས་བྱེད་པ་པོ།",NA,NA,"བཤེར་འབེབས་བྱས་པའི་ཟླ་ཚེས།","ཅོག་རྩེ་ཨང་གྲགས།","ལྡེབས་མ་ཆད་པའི་ཐོ།",NA,NA,NA
"2","W1NLM1","I1NLM1","W1NLM1-I1NLM1","1","M0057895","wooden cover","སློབ་དཔོན་ཆེན་པོ་པདྨ་ཀ་རའི་ཐུགས་རྗེའི་ཉིང་ཁུ་མདོས་ཆོག་སྣ་ཚོགས་བལྟོ་སྒྲོས་མས་བསྒྱུར་ཆེན་ཆེན་དགའ་བའི་ལྟས་མོ།","slob dpon chen po pad+ma ka ra'i thugs rje'i nying khu mdos chog sna tshogs blto sgros mas bsgyur chen chen dga' ba'i ltas mo/","pad+ma 'byung gnas/","70 ff.","manuscript",NA,"26x5.5","30x7",NA,NA,"Zulaa","14/8/18","Manal","1",142,"11/9/18","2",NA,NA,"Online",NA
"3","W1NLM2","I1NLM2","W1NLM2-I1NLM2","1","M0057896","n/a","དཔལ་གསང་དབང་འདུས་པའི་དབང་གི་ཆོ་གའི་ཊིཀྐ་དབང་དོན་དེ་ཉིད་རབ་གསལ་ཡང་དག་གསལ་སྒྲོན་མེ་མཁས་པའི་མགུལ་རྒྱན།","dpal gsang dbang 'dus pa'i dbang gi cho ga'i Tik+ka dbang don de nyid rab gsal yang dag gsal sgron me mkhas pa'i mgul rgyan/","jam dbyangs grags pa/","83 ff.","manuscript",NA,"23.5x5.5","29.5x7",NA,NA,"tsagaanaa","14/8/18","Manal","1",168,"11/9/18","2",NA,NA,"Online",NA
"4","W1NLM3","I1NLM3","W1NLM3-I1NLM3","1","M0057897","wooden cover","འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་ཞལ་བཅུ་གཅིག་པ་དཔལ་མོའི་ལུགས་ཀྱི་སྒྲུབ་ཐབས་སྨྱུང་བར་གནས་པའི་ཆོ་ག་དང་བཅས་པ་ཕན་བདེའི་སྣང་བ་གསར་དངོམ་སོགས།","phags pa thugs rje chen po zhal bcu gcig pa dpal mo'i lugs kyi sgrub thabs smyung bar gnas pa'i cho ga dang bcas pa phan bde'i snang ba gsar dngom sogs/",NA,"1 v.","Block Print",NA,"23x5.5","30x8",NA,NA,"Zulaa","14/8/18","Manal","1",247,"12/9/18","2","missing image 202",NA,"Online",NA
"5","W1NLM4","I1NLM4","W1NLM4-I1NLM4","1","M0057898","n/a","བྱང་ཆུབ་ལམ་གྱི་རིམ་པ་བརྟེན་པའི་བླ་མའི་རྣལ་འབྱོར་ཐུན་མོང་མིན་པ་ཉམས་སུ་ཆོ་ག་སྐལ་ལྡན་མགུལ་རྒྱན་ནོར་བུའི་འཕྲེང་བ་སོགས།","byang chub lam gyi rim pa brten pa'i bla ma'i rnal 'byor thun mong min pa nyams su cho ga skal ldan mgul rgyan nor bu'i 'phreng ba sogs/","dge slong grags pa dar rgyas/","1 v","manuscript",NA,"31x7","35x8.5",NA,NA,"tsagaanaa","14/8/18","Manal","1",206,"12/9/18","2",NA,NA,"Online",NA
"6","W1NLM5","I1NLM5","W1NLM5-I1NLM5","1","M0057899","wooden cover","དཔལ་རྟ་མཆོག་རོལ་པ་གསང་སྒྲུབ་ཀྱི་གཏོར་བཟློག་བགེགས་དཔུང་མཐར་བྱེད།","dpal rta mchog rol pa gsang sgrub kyi gtor bzlog bgegs dpung mthar byed/",NA,"1 v.","manuscript",NA,"30x6","35x8",NA,NA,"Zulaa","14/8/18","Manal","1",519,"13/9/18","2",NA,NA,"Online",NA
"7","W1NLM6","I1NLM6","W1NLM6-I1NLM6","1","M0057900","paper cover","དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ལ་བརྟེན་པའི་ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག་བདེ་བ་ཆེན་པོའི་རྒྱ་མཚོ་སོགས།","dpal rdo rje 'jigs byed la brten pa'i tshogs kyi 'khor lo'i cho ga bde ba chen po'i rgya mtsho sogs/",NA,"1 v.","manuscript",NA,"26x6","31x7.5",NA,NA,"tsagaanaa","14/8/18","Manal","1",506,"14/9/18","2","missing images 323,324 357-364",NA,"Online",NA
"8","W1NLM7","I1NLM7","W1NLM7-I1NLM7","1","M0057901","n/a","དཔལ་འཁོར་ལོ་སྡོམ་པ་ལོ་དྲིལ་གཉིས་ཀྱི་བསྙེན་པ་བྱེད་ཚུལ་གསལ་བར་བཤད་པ་མཁའ་འགྲོའི་གསང་མཛོད་བདུད་རྩིའི་བུམ་བཟང་སོགས།","dpal 'khor lo sdom pa lo dril gnyis kyi bsnyen pa byed tshul gsal bar bshad pa mkha' 'gro'i gsang mdzod bdud rtsi'i bum bzang /","lcang skya rol pa'i rdo rje/","1 v.","manuscript",NA,"35x6","42x8",NA,NA,"Zulaa","14/8/18","Otgoo","1",334,"13/9/18","1",NA,NA,"Online",NA
"9","W1NLM8","I1NLM8","W1NLM8-I1NLM8","1","M0057902","paper cover","དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞེས་བྱ་བ་རྣལ་འབྱོར་མ་ཆེན་མོའི་རྒྱུད་གྱི་རྒྱལ་པོ།","dpal 'khor lo sdom pa zhes bya ba rnal 'byor ma chen mo'i rgyud gyi rgyal po/",NA,"1 v.","manuscript",NA,"17x6","21x8",NA,NA,"tsagaanaa","17/8/18","Manal","1",176,"13/9/18","2",NA,NA,"Online",NA
"10","W1NLM9","I1NLM9","W1NLM9-I1NLM9","1","M0057903","paper cover","རྗེ་བཙུན་དམ་པ་རང་བྱུང་ཡེ་ཤེས་རྡོ་རྗེ་ལ་གསོལ་བ་འདེབས་པའི་ཚིགས་སུ་བཅད་པ་བྱིན་རླབས་སྒོ་འབྱེད་སོགས།","rje btsun dam pa rang byung ye shes rdo rje la gsol ba 'debs pa'i tshigs su bcad pa byin rlabs sgo 'byed sogs/","dhar ma badzra/","1 v.","Block Print",NA,"24.5x7.5","34.5x8.5",NA,NA,"Zulaa","17/8/18","Otgoo","1",54,"14/9/18","1",NA,NA,"Online",NA
